term,freq,language,POS
no,1909,es,adverb
sin,1423,es,preposition
negativo,200,es,adjective
afebril,188,es,noun
niega,136,es,verb
negativos,92,es,adjective
ausencia de,64,es,noun
negativa,53,es,adjective
neg,35,es,noun
negativas,24,es,noun
asintomatica,11,es,verb
asintomatico,10,es,verb
ex,9,es,adjective
inespecifico,8,es,adjective
falta de,7,es,noun
impide,5,es,verb
ex-,4,es,prefix
exfumador,4,es,noun
se retira,4,es,verb
tampoco,4,es,adverb
nega,4,es,verb
cede,4,es,other
desaparicion de,3,es,phrase
inespecificos,3,es,adjective
inestabilidad,3,es,noun
retiro,3,es,noun
negativo),3,es,adjective
negatividad de,3,es,noun
retirar,3,es,verb
excepto,2,es,preposition
desorientacion,2,es,other
niegan,2,es,verb
incapacidad para,2,es,noun
ausencia,2,es,noun
imposibilidad de,2,es,noun
se desestimo,1,es,verb
suspendido,1,es,adjective
negaitvo,1,es,adjective
ex fumador,1,es,noun
desorientado,1,es,adjective
ceden,1,es,verb
irregulares,1,es,noun
indetectable,1,es,adjective
negatividad,1,es,noun
imposibilidad,1,es,noun
se suspende,1,es,verb
negativa),1,es,adjective
ninguno,1,es,pronoun
rechaza,1,es,verb
en ninguna,1,es,determiner
desaparecen,1,es,verb
arritmicos,1,es,noun
desaparicion del,1,es,phrase
negatividad del,1,es,noun
atipicos,1,es,adjective
