category,term
adverb,no
adverb,sin
adverb,nunca
adverb,tampoco
adverb,ni
adverb,excepto
verb,rechazar
verb,ausentar
verb,faltar
verb,carecer
verb,desaparecer
verb,retirar
verb,ceder
verb,desestimar
verb,negar
verb,descartar
verb,impedir
verb,imposibilitar
noun,inestabilidad
noun,negatividad
noun,negativo
noun,neg:
noun,neg;
noun,suspendido
noun,atípico
noun,indetectable
noun,inespecífico
noun,imposibilidad
noun,irregular
noun,ningún
prefix,in
prefix,des
prefix,a
prefix,anti
prefix,contra
prefix,ex
prefix,neg
prefix,rechaz
prefix,ausen
prefix,falt
prefix,carec
prefix,desaparec
prefix,retir
prefix,ced
prefix,desestim
prefix,nieg
prefix,descart
prefix,imped
prefix,imposib
