term,freq,lemma
compatible con,58,compatible con
probable,54,_probable
sospecha de,31,sospecha de
se orienta,23,se orienta
probablemente,23,probablemente
posible,20,_posible
sugestiva de,18,sugestiva de
aparentemente,17,aparentemente
compatibles con,17,compatibles con
dudosa,13,_dudoso
valorar,12,valorar
sugestivo de,10,sugestivo de
podria,10,podria
sugestivos de,9,sugestivos de
parece,9,parece
sugestivas de,7,sugestivas de
aparente,7,aparente
posiblemente,5,posiblemente
vs,5,vs
dudoso,5,_dudoso
sospechosa de,4,sospechosa de
podrian,4,podrian
probables,4,_probable
dudosamente,4,dudosamente
sugiere,4,sugiere
posibilidad de,3,posibilidad de
impresiona,3,impresiona
sospechosas de,3,sospechosas de
desconoce,3,desconoce
dudosos,3,_dudoso
sugiriendo,3,sugiriendo
sospecha,2,sospecha
parecen,2,parecen
sin poder descartar,2,sin poder descartar
sugieren,2,sugieren
puede,2,puede
impresiona de,2,impresiona de
no parece,2,no parece
sin aparentes,2,sin aparentes
sin aparente,2,sin aparente
orientan,2,orientan
compatible amb,2,compatible amb
aparentes,2,aparentes
sugieran,2,sugieran
ssospechosas de,2,ssospechosas de
falsa,1,falsa
sin claras,1,_sin_claras
sugestivos con,1,sugestivos con
desconocido,1,desconocido
pudieran,1,pudieran
orienta como,1,orienta como
se orientan,1,se orientan
plantea,1,plantea
sin clara,1,_sin_claras
indiquen,1,indiquen
atribuida,1,atribuida
orienta,1,orienta
se desconoce,1,se desconoce
poco porque,1,poco porque
sugestiva como,1,sugestiva como
sospechosos de,1,sospechosos de
sospitosa de,1,sospitosa de
al parecer,1,al parecer
no es posible descartar,1,no es posible descartar
interpreta,1,interpreta
sospechan de,1,sospechan de
descartar,1,descartar
sugiera de,1,sugiera de
posibles,1,_posible
permite descartar,1,permite descartar
no permite descartar,1,no permite descartar
compatible,1,compatible
indeterminado,1,indeterminado
no clara,1,no clara
clara,1,clara
orientan como,1,orientan como
dubtos,1,dubtos
